 Wavelength (nm) | Sum        | Al I (2.4e-02) | Al II (4.8e-01) | Al III (3.5e-04) | Ca I (8.5e-03) | Ca II (4.5e-01) | Ca III (4.6e-02) |
     200.11      | 1.125e-5   |                |                 |                  |                |                 | 1.125e-5         |
     200.16      | 1.078e-5   |                |                 |                  |                |                 | 1.078e-5         |
     200.21      | 9.460e-6   |                |                 |                  |                |                 | 9.460e-6         |
     200.26      | 7.714e-6   |                |                 |                  |                |                 | 7.714e-6         |
     200.31      | 5.912e-6   |                |                 |                  |                |                 | 5.912e-6         |
     200.36      | 4.280e-6   |                |                 |                  |                |                 | 4.280e-6         |
     200.41      | 2.919e-6   |                | 5.181e-10       |                  |                |                 | 2.918e-6         |
     200.46      | 1.864e-6   |                | 9.440e-9        |                  |                |                 | 1.854e-6         |
     200.51      | 1.235e-6   |                | 1.521e-7        |                  |                |                 | 1.083e-6         |
     200.56      | 2.743e-6   |                | 2.169e-6        |                  |                |                 | 5.748e-7         |
     200.61      | 2.762e-5   |                | 2.735e-5        |                  |                |                 | 2.743e-7         |
     200.66      | 3.052e-4   |                | 3.051e-4        |                  |                |                 | 1.169e-7         |
     200.72      | 4.689e-3   |                | 4.689e-3        |                  |                |                 | 3.596e-8         |
     200.77      | 3.994e-2   |                | 3.994e-2        |                  |                |                 | 1.179e-8         |
     200.82      | 3.010e-1   |                | 3.010e-1        |                  |                |                 | 3.422e-9         |
     200.87      | 2.007e+0   |                | 2.007e+0        |                  |                |                 | 8.779e-10        |
     200.92      | 1.184e+1   |                | 1.184e+1        |                  |                |                 | 1.990e-10        |
     200.97      | 6.176e+1   |                | 6.176e+1        |                  |                |                 | 3.986e-11        |
     201.02      | 2.851e+2   |                | 2.851e+2        |                  |                |                 | 7.233e-12        |
     201.07      | 1.165e+3   |                | 1.165e+3        |                  |                |                 | 2.534e-12        |
     201.12      | 4.208e+3   |                | 4.208e+3        |                  |                |                 | 9.762e-12        |
     201.17      | 1.345e+4   |                | 1.345e+4        |                  |                |                 | 5.696e-11        |
     201.22      | 3.806e+4   |                | 3.806e+4        |                  |                |                 | 2.984e-10        |
     201.27      | 9.526e+4   |                | 9.526e+4        |                  |                |                 | 1.383e-9         |
     201.32      | 2.110e+5   |                | 2.110e+5        |                  |                |                 | 5.671e-9         |
     201.37      | 4.134e+5   |                | 4.134e+5        |                  |                |                 | 2.056e-8         |
     201.42      | 7.169e+5   |                | 7.169e+5        |                  |                |                 | 6.597e-8         |
     201.47      | 1.100e+6   |                | 1.100e+6        |                  |                |                 | 1.872e-7         |
     201.52      | 1.493e+6   |                | 1.493e+6        |                  |                |                 | 4.698e-7         |
     201.57      | 1.794e+6   |                | 1.794e+6        |                  |                |                 | 1.043e-6         |
     201.62      | 1.908e+6   |                | 1.908e+6        |                  |                |                 | 2.048e-6         |
     201.67      | 1.795e+6   |                | 1.795e+6        |                  |                |                 | 3.557e-6         |
     201.72      | 1.495e+6   |                | 1.495e+6        |                  |                |                 | 5.466e-6         |
     201.77      | 1.104e+6   |                | 1.104e+6        |                  |                |                 | 7.428e-6         |
     201.82      | 7.276e+5   |                | 7.276e+5        |                  |                |                 | 8.929e-6         |
     201.87      | 4.379e+5   |                | 4.379e+5        |                  |                |                 | 9.493e-6         |
     201.92      | 2.625e+5   |                | 2.625e+5        |                  |                |                 | 8.929e-6         |
     201.97      | 1.929e+5   |                | 1.929e+5        |                  |                |                 | 7.428e-6         |
     202.02      | 2.028e+5   |                | 2.028e+5        |                  |                |                 | 5.467e-6         |
     202.07      | 2.599e+5   |                | 2.599e+5        |                  |                |                 | 3.565e-6         |
